import time: self [us] | cumulative | imported package
import time:      1620 |      25102 |                   pandas.core.window
import time:     10653 |     129137 |                 pandas.core.generic
import time:      1198 |       1198 |                 pandas.core.methods.selectn
import time:       943 |        943 |                   pandas.core.reshape.util
import time:       781 |        781 |                   pandas.core.tools.numeric
import time:      1320 |       3042 |                 pandas.core.reshape.melt
import time:      1959 |       1959 |                   pandas._libs.reshape
import time:      1887 |       1887 |                   pandas.core.indexes.accessors
import time:      1130 |       1130 |                     pandas.arrays
import time:      2420 |       3549 |                   pandas.core.tools.datetimes
import time:      2422 |       2422 |                   pandas.io.formats.info
import time:      2496 |       2496 |                     pandas.plotting._core
import time:      1415 |       1415 |                     pandas.plotting._misc
import time:      1741 |       5651 |                   pandas.plotting
import time:      8202 |      23667 |                 pandas.core.series
import time:     20755 |     177797 |               pandas.core.frame
import time:      3285 |       3285 |               pandas.core.groupby.base
import time:       512 |        512 |                   backports_abc
import time:      4826 |       5338 |                 pandas._libs.groupby
import time:      1481 |       1481 |                   pandas.core.groupby.categorical
import time:      1767 |       3247 |                 pandas.core.groupby.grouper
import time:      6488 |      15072 |               pandas.core.groupby.ops
import time:      1026 |       1026 |                 pandas.core.groupby.numba_
import time:      1083 |       1083 |                 pandas.core.groupby.indexing
import time:      5451 |       7558 |               pandas.core.groupby.groupby
import time:      4947 |     216451 |             pandas.core.groupby.generic
import time:      1143 |     217594 |           pandas.core.groupby
import time:      1861 |     560566 |         pandas.core.api
import time:      1240 |       1240 |         pandas.tseries.api
import time:       914 |        914 |                 pandas.core.computation.common
import time:      1162 |       2076 |               pandas.core.computation.align
import time:      1144 |       1144 |                   pprint
import time:      1738 |       2881 |                 pandas.core.computation.scope
import time:      2404 |       5285 |               pandas.core.computation.ops
import time:      1030 |       8389 |             pandas.core.computation.engines
import time:       900 |        900 |               pandas.core.computation.parsing
import time:      2532 |       3432 |             pandas.core.computation.expr
import time:      1426 |      13246 |           pandas.core.computation.eval
import time:      1035 |      14281 |         pandas.core.computation.api
import time:      1098 |       1098 |           pandas.core.reshape.encoding
import time:      3570 |       3570 |           pandas.core.reshape.merge
import time:      2267 |       2267 |           pandas.core.reshape.pivot
import time:      1381 |       1381 |           pandas.core.reshape.tile
import time:      2076 |      10391 |         pandas.core.reshape.api
import time:       997 |        997 |           pandas.api.extensions
import time:      1075 |       1075 |           pandas.api.indexers
import time:       553 |        553 |               pandas.core.interchange
import time:      2511 |       3063 |             pandas.core.interchange.dataframe_protocol
import time:      1051 |       1051 |               pandas.core.interchange.utils
import time:      1411 |       2462 |             pandas.core.interchange.from_dataframe
import time:      1180 |       6704 |           pandas.api.interchange
import time:       861 |        861 |             pandas.core.dtypes.api
import time:       905 |       1766 |           pandas.api.types
import time:      3208 |       3208 |             pandas.core.resample
import time:      1794 |       1794 |                   pandas._libs.json
import time:      1051 |       1051 |                   pandas.io.json._normalize
import time:      1037 |       1037 |                   pandas.io.json._table_schema
import time:       368 |        368 |                           backports_abc
import time:      3075 |       3442 |                         pandas._libs.parsers
import time:      2136 |       2136 |                           pandas.io.parsers.base_parser
import time:      1288 |       3423 |                         pandas.io.parsers.arrow_parser_wrapper
import time:      2048 |       2048 |                         pandas.io.parsers.c_parser_wrapper
import time:      2230 |       2230 |                         pandas.io.parsers.python_parser
import time:      4876 |      16017 |                       pandas.io.parsers.readers
import time:       981 |      16998 |                     pandas.io.parsers
import time:        97 |      17095 |                   pandas.io.parsers.readers
import time:      3232 |      24206 |                 pandas.io.json._json
import time:      1720 |      25926 |               pandas.io.json
import time:       114 |      26039 |             pandas.io.json._json
import time:      3650 |       3650 |             pandas.io.stata
import time:      1010 |      33906 |           pandas.api.typing
import time:      1250 |      45695 |         pandas.api
import time:      1604 |       1604 |               pandas._testing.contexts
import time:      1361 |       2964 |             pandas._testing._io
import time:       831 |        831 |             pandas._testing._warnings
import time:       138 |        138 |                 cmath
import time:      3336 |       3474 |               pandas._libs.testing
import time:      1619 |       5092 |             pandas._testing.asserters
import time:      1047 |       1047 |             pandas._testing.compat
import time:      1828 |      11761 |           pandas._testing
import time:       998 |      12758 |         pandas.testing
import time:      1073 |       1073 |         pandas.util._print_versions
import time:      1466 |       1466 |           pandas.io.clipboards
import time:      1085 |       1085 |               pandas.io.excel._util
import time:      1169 |       1169 |               pandas.io.excel._calamine
import time:      1164 |       1164 |               pandas.io.excel._odfreader
import time:      1353 |       1353 |               pandas.io.excel._openpyxl
import time:      1168 |       1168 |               pandas.io.excel._pyxlsb
import time:      1340 |       1340 |               pandas.io.excel._xlrd
import time:      4195 |      11470 |             pandas.io.excel._base
import time:      1257 |       1257 |             pandas.io.excel._odswriter
import time:      1241 |       1241 |             pandas.io.excel._xlsxwriter
import time:      1571 |      15538 |           pandas.io.excel
import time:      1285 |       1285 |           pandas.io.feather_format
import time:      1044 |       1044 |           pandas.io.gbq
import time:      2046 |       2046 |           pandas.io.html
import time:      1015 |       1015 |           pandas.io.orc
import time:      1802 |       1802 |           pandas.io.parquet
import time:       983 |        983 |             pandas.compat.pickle_compat
import time:      1183 |       2166 |           pandas.io.pickle
import time:      4183 |       4183 |             pandas.core.computation.pytables
import time:      6177 |      10360 |           pandas.io.pytables
import time:      1432 |       1432 |             pandas.io.sas.sasreader
import time:       979 |       2410 |           pandas.io.sas
import time:       843 |        843 |           pandas.io.spss
import time:      2194 |       2194 |           pandas.io.sql
import time:      1664 |       1664 |           pandas.io.xml
import time:      2148 |      45972 |         pandas.io.api
import time:      1899 |       1899 |         pandas.util._tester
import time:      1012 |       1012 |         pandas._version_meson
import time:      2994 |    1625297 |       pandas
import time:      2147 |       2147 |             email.errors
import time:      3779 |       3779 |               http
import time:      1219 |       1219 |                       email.quoprimime
import time:       872 |        872 |                       email.base64mime
import time:      1023 |       1023 |                           quopri
import time:      1159 |       2182 |                         email.encoders
import time:      1611 |       3792 |                       email.charset
import time:      2159 |       8039 |                     email.header
import time:      1844 |       1844 |                       email._parseaddr
import time:      2283 |       4126 |                     email.utils
import time:      1621 |      13786 |                   email._policybase
import time:      1852 |      15637 |                 email.feedparser
import time:      1027 |      16664 |               email.parser
import time:      1171 |       1171 |                 email._encoded_words
import time:       915 |        915 |                 email.iterators
import time:      2738 |       4823 |               email.message
import time:      6440 |       6440 |                 _ssl
import time:      6885 |      13324 |               ssl
import time:      3949 |      42537 |             http.client
import time:     15945 |      60628 |           urllib3.exceptions
import time:      1412 |       1412 |                   urllib3.util.timeout
import time:      2205 |       3616 |                 urllib3.util.connection
import time:       658 |        658 |                   urllib3.util.util
import time:       318 |        318 |                   brotlicffi
import time:      1684 |       1684 |                     _brotli
import time:       774 |       2457 |                   brotli
import time:       176 |        176 |                   backports
import time:      1861 |       5469 |                 urllib3.util.request
import time:       796 |        796 |                 urllib3.util.response
import time:      1467 |       1467 |                 urllib3.util.retry
import time:     10512 |      10512 |                   urllib3.util.url
import time:      1426 |       1426 |                   urllib3.util.ssltransport
import time:      1597 |      13535 |                 urllib3.util.ssl_
import time:       959 |        959 |                 urllib3.util.wait
import time:      2069 |      27908 |               urllib3.util
import time:       227 |      28135 |             urllib3.util.connection
import time:      2289 |      30423 |           urllib3._base_connection
import time:      1734 |       1734 |           urllib3._collections
import time:       919 |        919 |           urllib3._version
import time:       125 |        125 |                 _heapq
import time:      1347 |       1471 |               heapq
import time:      2355 |       2355 |               _queue
import time:      1608 |       5432 |             queue
import time:      1009 |       1009 |                 urllib3.fields
import time:      1020 |       2028 |               urllib3.filepost
import time:       281 |        281 |                 brotlicffi
import time:       880 |        880 |                   urllib3.http2
import time:       934 |        934 |                   urllib3.http2.probe
import time:       740 |        740 |                   urllib3.util.ssl_match_hostname
import time:      2165 |       4718 |                 urllib3.connection
import time:       227 |        227 |                 backports
import time:      2555 |       7779 |               urllib3.response
import time:      1233 |      11040 |             urllib3._request_methods
import time:       694 |        694 |             urllib3.util.proxy
import time:      1582 |      18747 |           urllib3.connectionpool
import time:      2704 |       2704 |           urllib3.poolmanager
import time:      1960 |     117112 |         urllib3
import time:      1363 |       1363 |                 chardet.enums
import time:      1293 |       2656 |               chardet.charsetprober
import time:      1078 |       3733 |             chardet.charsetgroupprober
import time:       833 |        833 |             chardet.resultdict
import time:       655 |        655 |                   chardet.codingstatemachinedict
import time:       777 |       1431 |                 chardet.codingstatemachine
import time:       786 |        786 |                 chardet.escsm
import time:       942 |       3157 |               chardet.escprober
import time:       693 |        693 |               chardet.latin1prober
import time:       769 |        769 |               chardet.macromanprober
import time:      1265 |       1265 |                     chardet.big5freq
import time:      1086 |       1086 |                     chardet.euckrfreq
import time:      1382 |       1382 |                     chardet.euctwfreq
import time:      1225 |       1225 |                     chardet.gb2312freq
import time:      1050 |       1050 |                     chardet.jisfreq
import time:      2288 |       2288 |                     chardet.johabfreq
import time:      2006 |      10299 |                   chardet.chardistribution
import time:      2572 |       2572 |                   chardet.mbcharsetprober
import time:       846 |        846 |                   chardet.mbcssm
import time:      1279 |      14993 |                 chardet.big5prober
import time:      1026 |       1026 |                 chardet.cp949prober
import time:      1222 |       1222 |                   chardet.jpcntx
import time:     14630 |      15852 |                 chardet.eucjpprober
import time:      4323 |       4323 |                 chardet.euckrprober
import time:      1163 |       1163 |                 chardet.euctwprober
import time:       930 |        930 |                 chardet.gb2312prober
import time:       673 |        673 |                 chardet.johabprober
import time:       863 |        863 |                 chardet.sjisprober
import time:       923 |        923 |                 chardet.utf8prober
import time:      1632 |      42372 |               chardet.mbcsgroupprober
import time:      3272 |       3272 |                   chardet.sbcharsetprober
import time:       990 |       4261 |                 chardet.hebrewprober
import time:      2564 |       2564 |                 chardet.langbulgarianmodel
import time:      2040 |       2040 |                 chardet.langgreekmodel
import time:      1947 |       1947 |                 chardet.langhebrewmodel
import time:      2174 |       2174 |                 chardet.langrussianmodel
import time:      2171 |       2171 |                 chardet.langthaimodel
import time:      2069 |       2069 |                 chardet.langturkishmodel
import time:      1835 |      19058 |               chardet.sbcsgroupprober
import time:      1000 |       1000 |               chardet.utf1632prober
import time:      1668 |      68714 |             chardet.universaldetector
import time:       877 |        877 |             chardet.version
import time:       526 |        526 |             simplejson
import time:       959 |        959 |                   urllib.response
import time:      1291 |       2250 |                 urllib.error
import time:      4406 |       6655 |               urllib.request
import time:      6926 |      13581 |             http.cookiejar
import time:      3216 |       3216 |             http.cookies
import time:      2723 |      94199 |           requests.compat
import time:      1968 |      96167 |         requests.exceptions
import time:      3990 |       3990 |               charset_normalizer.constant
import time:      1980 |       1980 |                 charset_normalizer.md__mypyc
import time:      1828 |       1828 |                   _multibytecodec
import time:      1321 |       3149 |                 charset_normalizer.utils
import time:      7439 |      12568 |               charset_normalizer.md
import time:      1523 |       1523 |               charset_normalizer.models
import time:      1641 |      19720 |             charset_normalizer.cd
import time:      1545 |      21265 |           charset_normalizer.api
import time:       971 |        971 |           charset_normalizer.legacy
import time:      1074 |       1074 |           charset_normalizer.version
import time:      1295 |      24603 |         charset_normalizer
import time:      2931 |       2931 |               idna.idnadata
import time:      1468 |       1468 |               idna.intranges
import time:      3083 |       7481 |             idna.core
import time:       880 |        880 |             idna.package_data
import time:      1699 |      10059 |           idna
import time:      2495 |      12553 |         requests.packages
import time:      1291 |       1291 |               certifi.core
import time:      1167 |       2458 |             certifi
import time:       764 |       3222 |           requests.certs
import time:       750 |        750 |           requests.__version__
import time:      1477 |       1477 |           requests._internal_utils
import time:      1302 |       1302 |           requests.cookies
import time:      1053 |       1053 |           requests.structures
import time:      1383 |       1383 |           importlib.resources._adapters
import time:      1066 |       1066 |               importlib.resources._itertools
import time:      1716 |       2781 |             importlib.resources.readers
import time:      1017 |       3797 |           importlib.readers
import time:      3257 |      16239 |         requests.utils
import time:      1419 |       1419 |               requests.auth
import time:      1445 |       1445 |                   stringprep
import time:      1713 |       3158 |                 encodings.idna
import time:      1046 |       1046 |                 requests.hooks
import time:      1651 |       1651 |                 requests.status_codes
import time:      2972 |       8826 |               requests.models
import time:      1198 |       1198 |                 urllib3.contrib
import time:       190 |        190 |                 socks
import time:      1340 |       2728 |               urllib3.contrib.socks
import time:      2019 |      14991 |             requests.adapters
import time:      1227 |      16217 |           requests.sessions
import time:       907 |      17123 |         requests.api
import time:      1965 |     285759 |       requests
import time:      5728 |    1916783 |     caas_jupyter_tools
import time:      2577 |    2758924 |   sitecustomize
import time:      8323 |    2778923 | site
STDOUT:
ok

