import time: self [us] | cumulative | imported package
import time:      4828 |       4828 |                         typing_extensions
import time:      9326 |       9326 |                         pydantic_core._pydantic_core
import time:      1688 |       1688 |                               numbers
import time:      2916 |       4603 |                             _decimal
import time:      1536 |       6139 |                           decimal
import time:     23073 |      29211 |                         pydantic_core.core_schema
import time:      2817 |      46181 |                       pydantic_core
import time:      1036 |      47217 |                     pydantic.version
import time:      1246 |      48462 |                   pydantic.warnings
import time:      1915 |      50376 |                 pydantic._migration
import time:      1348 |       1348 |                     typing_inspection
import time:      4695 |       4695 |                     typing_inspection.typing_objects
import time:      3267 |       9309 |                   typing_inspection.introspection
import time:      1116 |       1116 |                   pydantic._internal
import time:      1678 |       1678 |                       pydantic._internal._namespace_utils
import time:      1985 |       3663 |                     pydantic._internal._typing_extra
import time:      1879 |       5542 |                   pydantic._internal._repr
import time:      1779 |      17744 |                 pydantic.errors
import time:      1372 |      69491 |               pydantic
import time:       702 |        702 |                   pydantic._internal._internal_dataclass
import time:      3967 |       4669 |                 pydantic.aliases
import time:      2987 |       2987 |                 pydantic.config
import time:      1471 |       9125 |               pydantic._internal._config
import time:      1738 |       1738 |                 pydantic._internal._core_utils
import time:      1441 |       1441 |                   pydantic._internal._import_utils
import time:      3180 |       4621 |                 pydantic._internal._utils
import time:      8748 |      15106 |               pydantic._internal._decorators
import time:      1613 |       1613 |                     _contextvars
import time:       970 |       2582 |                   contextvars
import time:      1635 |       1635 |                   pydantic._internal._forward_ref
import time:      2212 |       6428 |                 pydantic._internal._generics
import time:      1085 |       1085 |                 pydantic._internal._docs_extraction
import time:      3069 |      10581 |               pydantic._internal._fields
import time:      1485 |       1485 |                   pydantic.plugin
import time:      1085 |       2569 |                 pydantic.plugin._schema_validator
import time:      1463 |       4032 |               pydantic._internal._mock_val_ser
import time:      3761 |       3761 |                   fractions
import time:      4258 |       4258 |                     _uuid
import time:      2506 |       6763 |                   uuid
import time:      1350 |       1350 |                       sysconfig
import time:      2028 |       2028 |                       _sysconfigdata__linux_x86_64-linux-gnu
import time:      2149 |       5525 |                     zoneinfo._tzpath
import time:       974 |        974 |                     zoneinfo._common
import time:      1954 |       1954 |                     _zoneinfo
import time:      1252 |       9704 |                   zoneinfo
import time:      1118 |       1118 |                   pydantic.annotated_handlers
import time:      6854 |       6854 |                   pydantic.functional_validators
import time:      1122 |       1122 |                     pydantic._internal._core_metadata
import time:      1421 |       1421 |                     pydantic._internal._schema_generation_shared
import time:      5138 |       7679 |                   pydantic.json_schema
import time:      1203 |       1203 |                   pydantic._internal._discriminated_union
import time:      1321 |       1321 |                   pydantic._internal._known_annotated_metadata
import time:      1959 |       1959 |                   pydantic._internal._schema_gather
import time:      4627 |      44986 |                 pydantic._internal._generate_schema
import time:      1160 |       1160 |                 pydantic._internal._signature
import time:      1627 |      47772 |               pydantic._internal._model_construction
import time:     13169 |      13169 |                 annotated_types
import time:      1226 |       1226 |                 pydantic._internal._validators
import time:     10771 |      10771 |                 pydantic.types
import time:      4767 |      29932 |               pydantic.fields
import time:      1464 |       1464 |               pydantic.plugin._loader
import time:    175310 |     362809 |             presentation_artifact_tool.rpc.types
import time:      1566 |     370607 |           presentation_artifact_tool.rpc.client
import time:       180 |        180 |                   _locale
import time:      2856 |       3035 |                 locale
import time:      1913 |       1913 |                 signal
import time:       435 |        435 |                 fcntl
import time:       429 |        429 |                 msvcrt
import time:        67 |         67 |                 _posixsubprocess
import time:      2283 |       8160 |               subprocess
import time:       684 |       8843 |             presentation_artifact_tool.rpc.daemon
import time:       820 |       9663 |           presentation_artifact_tool.rpc.connection
import time:      5541 |     473171 |         presentation_artifact_tool.rpc.remote
import time:    211545 |     686505 |       presentation_artifact_tool.generated.interface.models
import time:      2929 |       2929 |       presentation_artifact_tool.helpers
import time:      1374 |       1374 |       presentation_artifact_tool.spreadsheet_warmup
import time:      3789 |     839565 |     presentation_artifact_tool
import time:      1243 |       1243 |           numpy.version
import time:       750 |        750 |           numpy._expired_attrs_2_0
import time:       592 |        592 |               numpy._utils._convertions
import time:      1070 |       1662 |             numpy._utils
import time:      1130 |       2791 |           numpy._globals
import time:       186 |        186 |             numpy._distributor_init_local
import time:       926 |       1111 |           numpy._distributor_init
import time:      1414 |       1414 |                     numpy.exceptions
import time:      1407 |       1407 |                     numpy._core._exceptions
import time:       668 |        668 |                     numpy._core.printoptions
import time:     94389 |      94389 |                     numpy.dtypes
import time:    365194 |     463070 |                   numpy._core._multiarray_umath
import time:      1049 |       1049 |                     numpy._utils._inspect
import time:      2442 |       3490 |                   numpy._core.overrides
import time:      2092 |     468652 |                 numpy._core.multiarray
import time:       869 |        869 |                 numpy._core.umath
import time:       738 |        738 |                   numpy._core._dtype
import time:       924 |        924 |                   numpy._core._string_helpers
import time:      1380 |       1380 |                   numpy._core._type_aliases
import time:      1774 |       4814 |                 numpy._core.numerictypes
import time:      1078 |       1078 |                   numpy._core._ufunc_config
import time:      1263 |       1263 |                         _compat_pickle
import time:       280 |        280 |                         _pickle
import time:      3455 |       4997 |                       pickle
import time:      1562 |       6559 |                     numpy._core._methods
import time:      3510 |      10069 |                   numpy._core.fromnumeric
import time:      1960 |      13105 |                 numpy._core._machar
import time:      1124 |       1124 |                     numpy._core.shape_base
import time:      1041 |       1041 |                     numpy._core._asarray
import time:      3261 |       3261 |                     numpy._core.arrayprint
import time:      3417 |       8841 |                   numpy._core.numeric
import time:      1651 |      10492 |                 numpy._core.einsumfunc
import time:      1158 |       1158 |                 numpy._core.function_base
import time:      1362 |       1362 |                 numpy._core.getlimits
import time:       940 |        940 |                 numpy._core.memmap
import time:      1762 |       1762 |                 numpy._core.records
import time:      3805 |       3805 |                 numpy._core._add_newdocs
import time:      1875 |       1875 |                 numpy._core._add_newdocs_scalars
import time:       988 |        988 |                 numpy._core._dtype_ctypes
import time:      4765 |       4765 |                     _ctypes
import time:      3241 |       3241 |                     ctypes._endian
import time:      3247 |      11252 |                   ctypes
import time:     34149 |      45401 |                 numpy._core._internal
import time:      1288 |       1288 |                 numpy._pytesttester
import time:      3649 |     560151 |               numpy._core
import time:        81 |     560232 |             numpy._core._multiarray_umath
import time:      1335 |     561567 |           numpy.__config__
import time:      6349 |       6349 |                             numpy._typing._nbit_base
import time:      8669 |       8669 |                             numpy._typing._nested_sequence
import time:      6530 |       6530 |                             numpy._typing._shape
import time:    103072 |     124617 |                           numpy._typing._array_like
import time:      5876 |       5876 |                           numpy._typing._char_codes
import time:     48480 |      48480 |                           numpy._typing._dtype_like
import time:      1374 |       1374 |                           numpy._typing._nbit
import time:      1223 |       1223 |                           numpy._typing._scalars
import time:      1149 |       1149 |                           numpy._typing._ufunc
import time:      2170 |     184887 |                         numpy._typing
import time:      3174 |       3174 |                           numpy.lib._stride_tricks_impl
import time:      1849 |       5023 |                         numpy.lib._twodim_base_impl
import time:      1261 |       1261 |                           numpy.lib._array_utils_impl
import time:      1064 |       2325 |                         numpy.lib.array_utils
import time:      2869 |       2869 |                         numpy.linalg._umath_linalg
import time:      4935 |     200037 |                       numpy.linalg._linalg
import time:       694 |        694 |                       numpy.linalg.linalg
import time:      1371 |     202101 |                     numpy.linalg
import time:      2556 |     204656 |                   numpy.matrixlib.defmatrix
import time:      1374 |     206030 |                 numpy.matrixlib
import time:      1407 |       1407 |                   numpy.lib._histograms_impl
import time:      3562 |       4969 |                 numpy.lib._function_base_impl
import time:      1022 |       1022 |                 numpy.lib.stride_tricks
import time:      2070 |     214090 |               numpy.lib._index_tricks_impl
import time:      2048 |     216137 |             numpy.lib._arraypad_impl
import time:      1991 |       1991 |             numpy.lib._arraysetops_impl
import time:      1185 |       1185 |             numpy.lib._arrayterator_impl
import time:      1714 |       1714 |             numpy.lib._nanfunctions_impl
import time:       344 |        344 |                       _wmi
import time:      3379 |       3723 |                     platform
import time:      1490 |       5213 |                   numpy.lib._utils_impl
import time:      1081 |       6293 |                 numpy.lib._format_impl
import time:      1115 |       7407 |               numpy.lib.format
import time:      1234 |       1234 |               numpy.lib._datasource
import time:      1451 |       1451 |               numpy.lib._iotools
import time:      2758 |      12848 |             numpy.lib._npyio_impl
import time:       811 |        811 |                 numpy.lib._ufunclike_impl
import time:      1372 |       2182 |               numpy.lib._type_check_impl
import time:      2598 |       4780 |             numpy.lib._polynomial_impl
import time:      1892 |       1892 |             numpy.lib._shape_base_impl
import time:       992 |        992 |             numpy.lib._version
import time:       832 |        832 |             numpy.lib.introspect
import time:      1053 |       1053 |             numpy.lib.mixins
import time:       827 |        827 |             numpy.lib.npyio
import time:      1524 |       1524 |               numpy.lib._scimath_impl
import time:       933 |       2457 |             numpy.lib.scimath
import time:      3405 |     250107 |           numpy.lib
import time:      1035 |       1035 |           numpy._array_api_info
import time:      6340 |     824941 |         numpy
import time:      1176 |       1176 |           pytz.exceptions
import time:      1379 |       1379 |           pytz.lazy
import time:      1682 |       1682 |           pytz.tzinfo
import time:       955 |        955 |           pytz.tzfile
import time:      7553 |      12743 |         pytz
import time:      1567 |       1567 |           dateutil._version
import time:      1249 |       2816 |         dateutil
import time:      1851 |       1851 |           pandas.compat._constants
import time:      1183 |       1183 |           pandas.compat.compressors
import time:       889 |        889 |               pandas.util
import time:      5047 |       5935 |             pandas.util.version
import time:      1840 |       7774 |           pandas.compat.numpy
import time:       323 |        323 |             pyarrow
import time:       901 |       1224 |           pandas.compat.pyarrow
import time:      1707 |      13737 |         pandas.compat
import time:      3495 |       3495 |                     numpy.random._common
import time:     15503 |      15503 |                         _hashlib
import time:       179 |        179 |                           _blake2
import time:      1809 |       1987 |                         hashlib
import time:      2038 |      19528 |                       hmac
import time:      2009 |      21536 |                     secrets
import time:      3022 |      28052 |                   numpy.random.bit_generator
import time:      2836 |      30888 |                 numpy.random._bounded_integers
import time:      2666 |       2666 |                     numpy.random._pcg64
import time:      2548 |       2548 |                     numpy.random._mt19937
import time:      5310 |      10522 |                   numpy.random._generator
import time:      2029 |       2029 |                   numpy.random._philox
import time:      2214 |       2214 |                   numpy.random._sfc64
import time:      5490 |       5490 |                   numpy.random.mtrand
import time:      1639 |      21893 |                 numpy.random._pickle
import time:      1406 |      54186 |               numpy.random
import time:      6587 |      60772 |             pandas._typing
import time:      1682 |       1682 |             pandas.util._exceptions
import time:      2457 |      64910 |           pandas._config.config
import time:      1077 |       1077 |           pandas._config.dates
import time:       992 |        992 |           pandas._config.display
import time:      1595 |      68572 |         pandas._config
import time:       824 |        824 |           pandas.core
import time:      3791 |       4614 |         pandas.core.config_init
import time:      1777 |       1777 |             pandas._libs.pandas_parser
import time:      1852 |       1852 |             pandas._libs.pandas_datetime
import time:      1627 |       1627 |                         pandas._libs.tslibs.ccalendar
import time:      2310 |       2310 |                         pandas._libs.tslibs.np_datetime
import time:      3809 |       7745 |                       pandas._libs.tslibs.dtypes
import time:      2226 |       2226 |                         pandas._libs.tslibs.base
import time:      2917 |       2917 |                             pandas._libs.tslibs.nattype
import time:      1421 |       1421 |                                 pandas.compat._optional
import time:      4467 |       4467 |                                     six
import time:      1987 |       1987 |                                     six.moves
import time:      2851 |       2851 |                                     dateutil.tz._common
import time:      2903 |       2903 |                                     dateutil.tz._factories
import time:        50 |         50 |                                       six.moves.winreg
import time:      2264 |       2313 |                                     dateutil.tz.win
import time:      6649 |      21168 |                                   dateutil.tz.tz
import time:      1199 |      22367 |                                 dateutil.tz
import time:      4123 |      27910 |                               pandas._libs.tslibs.timezones
import time:     11865 |      11865 |                                   calendar
import time:     15513 |      27378 |                                 _strptime
import time:       813 |        813 |                                 pandas._config.localization
import time:      2866 |      31056 |                               pandas._libs.tslibs.fields
import time:      4048 |      63013 |                             pandas._libs.tslibs.timedeltas
import time:      2744 |       2744 |                             pandas._libs.tslibs.tzconversion
import time:       560 |        560 |                             backports_abc
import time:      4307 |      73539 |                           pandas._libs.tslibs.timestamps
import time:       378 |        378 |                           backports_abc
import time:      2117 |       2117 |                           pandas._libs.properties
import time:      4883 |      80916 |                         pandas._libs.tslibs.offsets
import time:       484 |        484 |                           backports_abc
import time:      2746 |       2746 |                               dateutil._common
import time:      3625 |       6370 |                             dateutil.parser._parser
import time:      1223 |       1223 |                             dateutil.parser.isoparser
import time:      2062 |       9654 |                           dateutil.parser
import time:      3147 |       3147 |                           pandas._libs.tslibs.strptime
import time:      4075 |      17358 |                         pandas._libs.tslibs.parsing
import time:      3221 |     103719 |                       pandas._libs.tslibs.conversion
import time:      2539 |       2539 |                       pandas._libs.tslibs.period
import time:      2870 |       2870 |                       pandas._libs.tslibs.vectorized
import time:      1692 |     118563 |                     pandas._libs.tslibs
import time:       119 |     118681 |                   pandas._libs.tslibs.nattype
import time:      2473 |       2473 |                   pandas._libs.ops_dispatch
import time:      2766 |     123919 |                 pandas._libs.missing
import time:      3495 |     127413 |               pandas._libs.hashtable
import time:      3478 |       3478 |               pandas._libs.algos
import time:      2918 |     133808 |             pandas._libs.interval
import time:      1362 |     138798 |           pandas._libs
import time:      1015 |       1015 |             pandas.core.dtypes
import time:       572 |        572 |               pyarrow
import time:      3443 |       4015 |             pandas._libs.lib
